area,centroid_x,centroid_y,x,y,w,h,aspect_ratio,circularity
104.0,724,1470,715,1464,22,19,1.1578947368421053,0.2671640245797591
1271.0,107,1466,80,1441,64,45,1.4222222222222223,0.4362671660805586
987.5,61,1368,27,1344,65,42,1.5476190476190477,0.3255518006744495
13776.5,568,1369,470,1224,206,292,0.7054794520547946,0.07552597106234095
249.0,108,1218,97,1212,24,18,1.3333333333333333,0.6616324884738718
305.0,10,1208,0,1195,24,28,0.8571428571428571,0.29025606373009205
291.5,110,1112,99,1096,26,28,0.9285714285714286,0.3569931349623941
228.5,362,1074,351,1066,26,18,1.4444444444444444,0.569416732911594
460.0,184,1021,172,1008,28,25,1.12,0.7800640913517131
5940.0,561,914,518,857,129,123,1.048780487804878,0.12604302070427584
311.5,509,838,501,826,19,27,0.7037037037037037,0.783807574121508
103.0,296,828,285,823,21,12,1.75,0.39680920464947017
296.0,297,797,288,784,20,39,0.5128205128205128,0.33575112556104975
761.0,418,609,401,589,32,42,0.7619047619047619,0.5803421984141685
2126.0,264,521,242,483,50,84,0.5952380952380952,0.3230766968747052
